path,class_
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal290.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal29.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper165.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal64.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash26.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass138.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard10.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal152.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper378.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard42.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic126.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash27.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard348.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper536.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal363.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic212.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard229.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal169.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass28.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal200.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard278.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass99.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic46.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal255.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard375.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard87.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal31.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass354.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass69.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass467.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic460.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal330.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper58.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash115.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic161.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper337.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper266.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper588.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal50.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard218.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass259.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic319.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass413.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper156.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal301.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard60.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic294.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass241.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic298.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper319.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal225.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard374.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard387.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper540.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper553.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard68.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic127.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic15.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard276.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic275.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper555.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal160.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard264.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal234.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper339.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal30.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass185.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal326.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic16.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass302.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass470.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper104.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard262.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic35.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper554.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal288.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal309.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal289.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper334.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard30.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic458.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper235.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal257.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal210.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper211.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal312.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal273.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper171.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper212.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper411.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass469.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal345.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal213.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard231.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash82.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass372.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic102.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass157.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash117.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic470.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic30.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper461.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic143.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal84.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper53.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass358.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal408.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper24.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass475.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper523.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper316.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal409.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard333.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard18.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper482.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper471.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass489.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass106.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal56.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic10.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal75.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass314.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic23.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard94.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash80.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic242.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper522.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass206.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard293.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper35.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic162.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass114.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper190.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper210.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal382.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass93.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal357.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper304.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic426.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal97.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard340.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper179.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard350.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal391.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper103.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper352.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic341.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash81.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass286.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard250.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass365.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass287.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper200.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass36.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal22.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard304.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper551.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper45.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic383.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic285.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard221.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass51.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic264.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard318.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass264.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass102.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic142.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic343.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper371.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass25.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper426.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard56.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass128.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal375.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic250.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass307.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal327.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass43.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass134.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic388.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard321.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper403.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal133.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass275.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper390.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper463.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper538.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard142.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper513.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper161.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper163.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass371.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper183.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard261.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass90.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash127.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal105.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass252.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal310.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic416.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal140.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper275.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal392.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard306.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass103.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic261.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal186.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal41.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard324.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass167.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal356.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass472.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal85.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal302.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass141.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass175.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash119.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic132.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard220.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper568.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard206.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass229.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass428.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper102.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper175.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper392.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal11.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass336.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal107.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal80.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass89.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic448.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic151.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic295.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal376.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper577.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass125.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal394.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass474.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal52.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass447.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal26.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic353.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal244.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic358.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard240.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic85.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic32.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic70.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal189.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal15.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic310.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper344.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal346.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass391.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic464.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic299.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard106.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass224.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic362.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic1.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper28.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass40.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal124.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper71.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass96.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal117.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper318.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash69.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass253.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash57.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass6.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper146.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass266.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass311.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper49.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass215.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic105.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic213.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard398.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass404.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic410.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal141.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal145.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard257.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal217.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper232.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper291.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic300.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal161.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic387.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass461.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard287.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal361.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal194.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass228.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash34.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper460.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard343.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass277.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard26.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic269.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper109.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal135.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal1.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper257.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard54.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper398.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper233.jpg,paper
